Name,Type,Status,Genre,Watch date,Location
Deep Rising,Good Movie,Complete,Horror/Action,"Nov 6, 2020",Paid
Left behind,Bad_Movie,Complete,Thriller/Action,"Nov 6, 2020",Netflix
Shutter Island,Bad_Movie,Complete,Thriller/Mystery,"Mar 5, 2021",Netflix
Doom Movie,Bad_Movie,Complete,Horror,"Nov 20, 2020",Netflix
Ghosts of War,Medium Movie,Complete,Horror/War,"Jan 22, 2021",Netflix
The Dictator,Medium Movie,Complete,Comedy/Dark comedy,"Mar 12, 2021",Netflix
Friday the 13th,Bad_Movie,Complete,Horror,"Nov 13, 2020",Netflix
The Thing 2011,Bad_Movie,,,,Paid
Dragon Heart,Good Movie,Complete,Fantasy/Adventure,"Jan 22, 2021",Prime
